food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Savoury puffs,1.9079,0.0951,0.108,0.1524,0.0033,0.0451,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Choux swans,2.1634,0.0435,0.1492,0.156,0.0035,0.0613,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Potato aigrettes,5.3003,0.0235,0.0801,0.5424,0.0045,0.0073,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cream horns,4.0823,0.0342,0.2312,0.3355,0.006,0.0712,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Savoury cheese horns,2.9515,0.0566,0.2138,0.2071,0.0073,0.0274,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Paneer patties,3.3858,0.076,0.2279,0.2396,0.0118,0.0404,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable patties ,2.6192,0.0401,0.2098,0.1774,0.0262,0.0149,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pearl millet infant food (Bajra shishu aahaar),3.6244,0.1198,0.621,0.0662,0.0784,0.2606,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sajina,3.4526,0.1081,0.6687,0.0303,0.0762,0.2589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cereal mix ,1.2081,0.0332,0.2184,0.0202,0.0203,0.1068,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pulse mix,0.8329,0.0316,0.16,0.0054,0.0225,0.0659,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Shishu ahar,0.9337,0.0261,0.1742,0.0143,0.0102,0.0661,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cereal pulse mix with amylase rice flour,1.5157,0.0427,0.278,0.0274,0.0347,0.0884,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Banana groundnut paste/puree,2.1319,0.0427,0.3615,0.0545,0.017,0.3167,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Rice dal porridge (Chawal dal ki khichdi/khichri),3.8333,0.108,0.6504,0.0833,0.0451,0.2654,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lentils and semolina porridge (Dal suji porridge/daliya),1.1729,0.0326,0.2319,0.0106,0.0144,0.1384,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Spinach khichri (Palak khichri/khichdi),1.0218,0.0343,0.1735,0.0191,0.0156,0.0021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Vegetable mix,1.7421,0.047,0.3602,0.0094,0.0193,0.2736,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lentils and wheat porridge (Dal wheat porridge/daliya ),0.5254,0.0271,0.0836,0.0094,0.0128,0.0092,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Maize porridge,0.8957,0.0214,0.1564,0.0189,0.0168,0.0769,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Spinach peanut burfi (Palak aur mungfali ki burfi),1.0537,0.0336,0.1359,0.0439,0.0207,0.115,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Split bengal gram burfi/fudge (Channa dal burfi),2.8736,0.0465,0.5463,0.0709,0.0206,0.4338,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Chickpea flour cookies (Sweet besan rounds/cookies),2.0701,0.0429,0.3964,0.0342,0.0256,0.3066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Pearl millet mathri (Bajra mathri),7.8508,0.0182,0.0742,0.8312,0.0136,0.0016,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sesame biscuit (Til ke biscuit),4.2403,0.0827,0.5365,0.1934,0.0683,0.2973,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),6.5757,0.0405,0.0868,0.6719,0.0265,0.0035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Poshtik namak paras,6.1339,0.0649,0.1952,0.5658,0.0455,0.0087,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Soya chikki,4.237,0.0718,0.6289,0.1551,0.0355,0.4547,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,inferred_from_dish_name_keywords
Besan bathua chilla/cheela,3.7382,0.1148,0.4065,0.1857,0.0779,0.0145,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Wheat flour and nuts ladoos (Atta nuts ladoos),3.919,0.0946,0.4431,0.1919,0.073,0.1594,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Gram flour and semolina dhokla (Besan suji dhokla),1.9891,0.0852,0.2592,0.071,0.0459,0.0258,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Atta dal burfi ,2.988,0.0666,0.4064,0.1247,0.0408,0.2108,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Soya roti,2.8396,0.0918,0.4003,0.0923,0.0871,0.0158,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,inferred_from_dish_name_keywords
Poshtik khichdi/khichri,0.9337,0.0304,0.1564,0.0188,0.02,0.0026,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Namkeen daliya,2.9511,0.0829,0.4932,0.0799,0.0857,0.0082,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Sprouts upma ,3.1625,0.095,0.4496,0.1044,0.0716,0.0167,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Semolina idli (Suji/Rava idli),2.0639,0.0934,0.3367,0.0347,0.0585,0.0342,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Poshtik chilla/cheela,1.5953,0.0485,0.2747,0.0304,0.0491,0.0122,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Stuffed bittergourd (dry) (Bharwa karela),2.1765,0.0129,0.0249,0.2238,0.03,0.0007,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
