food_name,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Stuffed okra (Bharwa bhindi),94.34,2.08,3.85,7.66,4.15,0.48,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Stuffed round gourd (Bharwa tinde),72.8,1.1,4.02,5.75,2.1,1.96,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Stuffed capsicum (Bharwa shimla mirch),90.94,1.34,8.26,5.7,2.01,1.21,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Stuffed brinjal (Bharwa baingan),93.0,1.53,3.96,7.73,4.09,0.92,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Stuffed tomatoes (Bharwa tamatar),93.35,3.28,6.19,6.06,2.2,2.68,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea potato curry (Aloo matar),100.92,3.48,9.74,5.13,3.61,1.86,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea paneer curry (Matar paneer),134.83,6.61,9.29,7.75,3.3,3.89,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea mushroom curry (Matar mushroom),93.3,3.87,7.41,5.16,3.86,1.82,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea curry (Matar ki sabzi),102.99,4.51,9.2,5.11,4.44,1.98,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea vadi curry,101.95,4.64,8.9,5.08,4.28,1.92,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer curry,176.52,7.8,8.4,12.38,1.4,6.29,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lotus stem curry (Kamal kakdi curry),110.34,1.53,9.24,7.25,3.14,2.09,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Gravy for kofta,125.59,1.75,6.31,10.35,1.96,3.73,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pea kofta curry (Matar kofta curry),595.66,2.01,4.17,63.39,1.7,0.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Spinach kofta curry (Palak kofta curry),571.78,1.09,3.56,61.49,0.92,0.82,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Paneer kofta curry,670.91,2.39,3.27,72.06,0.4,1.98,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,0.96,5.01,67.76,1.01,0.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
