food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method,calories_per_g_original
Vegetable pancake,1.2357,0.0387,0.1224,0.0657,0.0248,0.0209,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2518
Jam and fruit pancake,1.6117,0.0379,0.2073,0.0701,0.0121,0.0785,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.6202
Khoa and coconut pancake,2.7481,0.0698,0.2732,0.1529,0.0165,0.1647,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.7198
Brown stock,0.2122,0.0195,0.0025,0.0138,0.0009,0.0014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.2132
Vegetable stock,0.1746,0.003,0.0096,0.0138,0.0038,0.0044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.176
Chicken stock,0.2983,0.0369,0.0037,0.0151,0.001,0.002,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.2988
Clear tomato soup (Tamatar ka soup),1.4294,0.0479,0.0345,0.1222,0.0196,0.0144,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.8007
Lentil soup,1.5948,0.0965,0.0394,0.1168,0.0257,0.0106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.3117
Chicken consomme (Clear chicken soup),1.5882,0.1147,0.0119,0.1202,0.0157,0.0054,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.4794
Cream of tomato soup,1.5224,0.0461,0.0393,0.1312,0.0138,0.0181,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.9781
Cream of green peas soup,1.8854,0.0713,0.0675,0.1478,0.0295,0.0161,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2784
Cream of spinach soup,1.5443,0.0521,0.0345,0.1331,0.0174,0.0113,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.0054
Cream of mixed vegetable soup,1.2853,0.0684,0.0493,0.0905,0.0214,0.021,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5965
